sent_id	tb	text	original text	v2.8 text	v2.11 text
ins_1037	v2.11		Hem bir şeyler satmaya hem bir şeyler alıp gelmeye.	Hem bir şeyleri sat hem bir şeyleri al gel.	Hem bir şeyleri satmaya hem bir şeyleri alıp gelmeye.
bio_1990	v2.8		Bizim Şefik dert dağıtım merkezi sanki.	Bizim Şefik dert dağıtım merkezi sanki.	Bizim Şefik dert dağıtım merkezi sanki.
bio_1990	v2.11		Bizim Şefik dert dağıtım merkezi sanki.	Bizim Şefik dert dağıtım merkezi sanki.	Bizim Şefik dert dağıtım merkezi sanki.
pop_1612	v2.8		Soğanı yemeklik doğrayın.	Soğanı yemeği doğrayın.	Soğanı yemeklik doğrayın.
pop_1612	v2.11		Soğanı yemeklik doğrayın.	Soğanı yemeği doğrayın.	Soğanı yemeklik doğrayın.
ins_1076	v2.8		Etkinlikler söz konusu olduğunda ilk akla gelen kriter, markanın/kurumun iletişim stratejisiyle tutarlılıktır.	Etkinler söz konusu olunca ilk aklına gelen kriter, markanın/kurumun iletişim stratejisiyle tutarlıdır.	Etkinlikler söz konusu olduğunda ilk aklıma gelen kriter, markanın/kurumun iletişim stratejisiyle tutarlılığıdır.
ins_1076	v2.11		Etkinlikler söz konusu olduğunda ilk akla gelen kriter, markanın/kurumun iletişim stratejisiyle tutarlılıktır.	Etkinler söz konusu olunca ilk aklına gelen kriter, markanın/kurumun iletişim stratejisiyle tutarlıdır.	Etkinlikler söz konusu olduğunda ilk aklıma gelen kriter, markanın/kurumun iletişim stratejisiyle tutarlılığıdır.
bio_1762	v2.8		Mahmut'un düzeni bozulabilirdi.	Mahmut'un düzeni bozulabilmiş.	Mahmut'un düzenini bozuyordu.
bio_1762	v2.11		Mahmut'un düzeni bozulabilirdi.	Mahmut'un düzeni bozulabilmiş.	Mahmut'un düzenini bozuyordu.
news_1406	v2.8		Dönerken de soruyorsunuz...	Dönerken de soruyorsunuz...	Dönen de sorunuz...
news_1406	v2.11		Dönerken de soruyorsunuz...	Dönerken de soruyorsunuz...	Dönen de sorunuz...
bio_1380	v2.8		Her taraf güneş altında pırıl pırıldı.	Her taraf Güneş altında pırıl pırıl parladı.	Her taraf güneşin altı pırıl pırıldı.
bio_1380	v2.11		Her taraf güneş altında pırıl pırıldı.	Her taraf Güneş altında pırıl pırıl parladı.	Her taraf güneşin altı pırıl pırıldı.
pop_1761	v2.8		Kaş: Gözün hemen üstünde bir çizgi halinde bulunan kaş, bazen de şekilsiz ve iri bir küme olarak sırt ve kulunçlarda yeşerir.	Kaş: Gözün hemen üstünde bir çizgi hâlinde bulunan kaş, bazen de şekil ve iri bir küme olarak sırt ve kulunçlarda yeşerir.	Kaş: Gözün hemen üstünde bir çizgi hâlinde bulunur, kaş, bazen de şekil ve iri bir küme olur; sırt ve kulunçlarda yeşerir.
pop_1761	v2.11		Kaş: Gözün hemen üstünde bir çizgi halinde bulunan kaş, bazen de şekilsiz ve iri bir küme olarak sırt ve kulunçlarda yeşerir.	Kaş: Gözün hemen üstünde bir çizgi hâlinde bulunan kaş, bazen de şekil ve iri bir küme olarak sırt ve kulunçlarda yeşerir.	Kaş: Gözün hemen üstünde bir çizgi hâlinde bulunur, kaş, bazen de şekil ve iri bir küme olur; sırt ve kulunçlarda yeşerir.
ess_329	v2.8		Birkaç yıldır, Kürt, Kıbrıs, Ermeni ve diğer azınlık sorunlarının, AB'ye girişin, İslamcı kökenli bir partinin iktidara gelişinin etkisiyle ve bunlara tepki olarak, milliyetçilik yükselmeye başladı.	Birkaç yıldır, Kürt, Kıbrıs, Ermeni ve diğer azınlıkların sorunları, AB'ye girişi, İslam kökenli bir partinin iktidara gelmesi ve bu tepkilere oluşan etkiler, milliyetçiliğin yükselişe başladığını gösteriyor.	Birkaç yıldır, Kürt, Kıbrıs, Ermeni ve diğer azınlığın sorunları, AB'ye girişi, İslamcı kökenli bir partinin iktidara gelmesini ve bu tepkileri, milliyetçiliğin yükselişine başladı.
ess_329	v2.11		Birkaç yıldır, Kürt, Kıbrıs, Ermeni ve diğer azınlık sorunlarının, AB'ye girişin, İslamcı kökenli bir partinin iktidara gelişinin etkisiyle ve bunlara tepki olarak, milliyetçilik yükselmeye başladı.	Birkaç yıldır, Kürt, Kıbrıs, Ermeni ve diğer azınlıkların sorunları, AB'ye girişi, İslam kökenli bir partinin iktidara gelmesi ve bu tepkilere oluşan etkiler, milliyetçiliğin yükselişe başladığını gösteriyor.	Birkaç yıldır, Kürt, Kıbrıs, Ermeni ve diğer azınlığın sorunları, AB'ye girişi, İslamcı kökenli bir partinin iktidara gelmesini ve bu tepkileri, milliyetçiliğin yükselişine başladı.
bio_390	v2.8		Yarın işim çok.	Yarın işim çok.	Yarın işim çok.
bio_390	v2.11		Yarın işim çok.	Yarın işim çok.	Yarın işim çok.
pop_62	v2.8		"""İstanbul aslında deprem kuşağının tam göbeğindeymiş."	İstanbul aslında depremin kuşağındaki göbeğindeydi.	İstanbul aslında deprem kuşağının tam göbeğindeydi.
pop_62	v2.11		"""İstanbul aslında deprem kuşağının tam göbeğindeymiş."	İstanbul aslında depremin kuşağındaki göbeğindeydi.	İstanbul aslında deprem kuşağının tam göbeğindeydi.
ess_624	v2.8		"Ben yani nerdeyse bir Christian Scientist üyesi kadar ""düşkün"" addedilebilirim doktorlara."	Ben yani nerdeyse bir Christian Scientist üyesi kadar düşkün addedilirim doktorlara.	"Ben yani nerdeyse bir Christian Scientist üyesi kadar """"düşkünü"""" addederim doktorlara."
ess_624	v2.11		"Ben yani nerdeyse bir Christian Scientist üyesi kadar ""düşkün"" addedilebilirim doktorlara."	Ben yani nerdeyse bir Christian Scientist üyesi kadar düşkün addedilirim doktorlara.	"Ben yani nerdeyse bir Christian Scientist üyesi kadar """"düşkünü"""" addederim doktorlara."
