ins_833	1936 yılında değiliz.	1936 yılındayız.
pop_931	Yarım greyfurt günlük C vitamin ihtiyacının yüz altmışını sağlar.	Yarım greyfurt günlük C vitamini ihtiyacının yüzde altmışını sağlar.
pop_1181	1 yemek kaşığı zeytinyağı.	1 yemek kaşığı zeytinyağı
pop_112	Yan tarafda kocaman bir kavanoz.	Yan tarafında da kocaman bir kavanoz.
bio_1603	Hanımefendi asistan yapmış.	O hanımı asistan yaptılar.
news_499	Mini dizüstü 3n doping.	Mini dizüstünde 3N dopingi
ess_932	Ama hayat her şey bizim istediğimiz gibi olmaz.	Ama hayatta her şey bizim istediğimiz gibi olmuyor.
ins_704	Öyle ben bir İspanyol oldum kadar dünyalıyım da.	Öyleyse, ben bir İspanyol olduğum kadar dünyalıyım da.
news_388	Bu yaş dilimimin en az çalıştığı Slovakya, Belçika ve Fransa.	Bu yaş diliminin en az çalışanları ise Slovakya, Belçika ve Fransa'da.
ess_594	Bu umut.	Bunu umuyoruz.
news_1344	Bu kararla polis ve savcılık bu yönde şikâyet azalacağına dair belirtiler verdi.	Bu kararla polise ve savcılıklara bu yönde yapılan şikâyetlerin de azalacağı belirtildi.
bio_1396	Moby Dick'i aldım, sarı boyayı inceltmek için ne gaz, ne benzin, hiçbir şey kabul etmedi.	Moby Dick'e aldığım sarı boya inceltmek için ne gaz, ne benzin, hiçbir şey kabul etmiyordu.
bio_1973	Telsiz sürekli işler, tamamlayıcı haberler gelir, buyruk yerine ulaşır.	Telsiz, sürekli olarak işliyor, tamamlayıcı haberler geliyor, buyruklar yerine ulaşıyordu.
pop_542	1 kutu ançüez.	1 kutu ançüez
bio_965	Dünyaca ünlü obuacı bir süre oturup dinledikten sonra, solisti tanıdığı istedi ve söyledi.	Dünyaca ünlü obuacı oturup bir süre dinledi, sonra solisti tanımak istediğini söyledi.
ins_1552	O, öncelikle çok büyük bir asker ve komutandır.	O, öncelikle çok büyük bir asker ve komutandır.
bio_1690	Çocuklarından biri.	Çocuklardan biri,
bio_1888	Köylülerin çoğu evlerine girmedi çünkü söylemelerine göre ısınmazlardı.	Köylülerin çoğu evlere girmemişti; çünkü söylediklerine göre ısınamıyorlardı.
bio_1939	Ses duy, şirkete yeni girdi kaptan, şaşkın ve ürkek bir ifadeyle, boxer çekişini tuvalette fırladı.	Sesleri duyan, şirkete yeni girmiş kaptan, şaşkın ve ürkek bir ifadeyle boxerını çekiştirerek tuvaletten fırladı.
bio_1867	Alelacele el ettim ve bin.	Alelacele el edip durdurdum ve bindik.
pop_45	Sarı, beyaz ve pembe renkli cins içinde en çok beyaz sev.	Sarı, beyaz, pembe renkli cinsleri içinde en çok beyazı sevilir.
ins_1403	Dünya uluslararası duruma göre böyle bir mücadele gerekmişti ki manevi unsurlara sahip olan ve bu nitelikten oluşan kişi ve toplum hayatı ve bağımsızlık yoktur.	Dünyada uluslararası duruma göre böyle bir mücadelenin gerektirdiği manevi unsurlara sahip olmayan kişiler ve bu nitelikte kişilerden oluşan toplumlara hayat ve bağımsızlık yoktur.
bio_634	"Ancak pet therapist" ısızından geçmeyeceğim.	Ancak "pet therapist"i size tanıtmadan geçemeyeceğim.
pop_933	Kadıköy, İstanbul'daki Musevi genç, Bobi takma adıyla bilinen ilk Türk futbolcusu Fuat Hüsnü, büyük Hasan ve Dalaklı Hüseyin gibi isimler de forma giydi.	Kadıköy'de İstanbul'un Musevi gençleri, Bobi takma adıyla sahaya çıkan ilk Türk futbolcusu Fuat Hüsnü, Büyük Hasan ve Dalaklı Hüseyin gibi isimler de forma giydiler.
news_711	İsrailli yetkilinin daha önce yapmış olduğu açıklamada, İsrail tarafından Suriye'ye gönderilmiş bazı füzelerin Hizbullah tarafından desteklendiği de İran'ın da suçlandığı belirtilerek, son er bekle sorun daha büyük bir coğrafyaya yayılırsa kaygı uyandırabileceği ifade edildi.	İsrailli yetkililerin daha önce yaptıkları açıklamalarda, sınırın İsrail tarafına gönderilen bazı füzelerin Suriye tarafından tahsis edildiği ileri sürülürken, İsrail Başbakanı Ehud Olmert'in, "Hizbullah'ı destekliyor" diyerek İran'ı da suçlaması, sona erdirilmesi beklenen sorunun daha büyük bir coğrafyaya yayılabileceği kaygısını uyandırıyor.
ins_276	Ne kadar düşünseydim de düşünmediğim bir fikir gelmedi aklıma.	Ne kadar düşünürsem düşüneyim, televizyonda izlediklerimden başka bir fikir gelmiyor aklıma.
ess_1954	Ben annem babam da tam olarak öyle bilmiyorum, niye olduysa oldu.	Bence anne babalar da tam olarak bilmiyordu niye olduğunu.
pop_1233	Atkuyruğu (zemberekotu).	Atkuyruğu (zemberekotu)
ess_1231	1925 yılı ilk yarısından itibaren, Türkiye muhalefeti ve dolayısıyla siyaset yaşamı haklı olarak tanınmadı.	1925'in ilk yarısından itibaren, Türkiye'de muhalefete ve dolayısıyla siyasete yaşama hakkı tanınmamıştır.
news_1402	Ancak saldırı henüz üstlenilmedi.	Ancak saldırıyı henüz üstlenen olmadı.
bio_1520	", 190 oyla bir meclis başkanı seçimi etkin oldu, olmadı. Düşün, başlamış olsaydı ve anayasa 84. maddesi işlerlik vazgeçilmezdi ve 1961 yılından beri uygulanan centilmenlik anlaşması da vazgeçilmez olurdu gibi üç ihtimal bir kabul etseydik, bugün belki bir başkan olurdu."	"Grubumuz, 190 oyla bir Meclis Başkanı seçiminde etkin olamadığımızı düşündüğü anda, eğer Meclis'in çalışmaya başlamasını sağlamak ve Anayasa'nın 84'ncü maddesinin (bu madde başkanlık divanında partilerin oyları oranında temsil edilmesini öngörüyordu) işlerliğinden vazgeçmek ve 1961 yılından beri uygulanmakta olan centilmenlik anlaşmasından da vazgeçilmesine razı olmak gibi üç ihtimalden birini kabul etseydik, bugün Meclis'in belki bir başkanı olurdu.
pop_1332	dik yüzüne baktı.	Dik dik yüzüne baktı.
ins_1410	Bütün bir günü çalışmadık, büyük bir sessizlik içerisinde geçirdik.	Bütün bir günü çalışmadan büyük bir sessizlik içerisinde geçirdik.
ins_1435	O zaman Kadifekale'de oturuydu.	O zamanlar Kadifekale'de otururlarmış.
pop_960	Fazla sayıda kadın orgazm olmazlar, bazı kadınlar da orgazm olur.	Fazla sayıda olmamakla birlikte bazı kadınlar da orgazm sırasında boşalırlar.
news_451	Türkiye'de hassasiyet var.	Türkiye'de hassasiyetlerimiz var.
ins_1347	Su yaşamında yan.	Sular yaşıyor yanımda
bio_1175	Bu stratejinin ortağı konulmasıyla Hürriyet'in ilk olarak benim yazdığım ve yazımda olduğu gibi çıktı.	Bu stratejinin ortaya konulacağını Hürriyet'te ilk ben yazmıştım ve yazdıklarım da olduğu gibi çıkmıştı.
bio_1902	Benim için gerçek anlamı trajik bir olayın dönüşüydü.	Benim için gerçek anlamda trajik bir olaya dönüşmüş.
bio_1315	Üç Demir çubukunu bul getir, de.	- Üç demir çubuk bulup getirin, dedi.
bio_51	Rehber yıllarında ustalık, önünde yapı hakkı bilgi veririz.	Rehberimiz yılların verdiği ustalıkla, önünde durduğumuz her yapı hakkında bilgi veriyor bize.
ins_1973	hiç ağrı, çürük yok.	Hiç ağrı, çürük yok,
ess_587	Salt yargı ön çık diye parti bağla, paketle Refah partisi rehin bırak bayan Çiller ödül al.	Salt yargı önüne çıkarılmasın diye partisini bağlayıp, paketleyip Refah Partisi'ne rehin bırakan Bayan Çiller ödülünü alıyor.
ins_1717	panik, korku, acı, ürkek ve donuk bakıyoruz.	Panik, korku, acı, ürkek ve donuk bakışlar,
bio_816	yalnız kaldığında şüpheli bakmış.	Yalnız kaldığında da baktığından şüpheliyim.
ins_991	Bayrama katıl zorunlu; katılmayan köy halkı dışlanır.	Bayrama katılmak zorunludur; katılmayan, köy halkınca dışlanır.
ins_1433	Pamukkale'nin yanındaki kule gibi görünüşü ile Peri'nin bacaları karşılaşır ve sanki her bir baca başındaki komik şapka ile biz gülümseriz.	Pamukkale'nin yanında kule gibi görünüşleri ile Peri Bacaları karşılıyor ve sanki her bir baca başındaki komik şapkası ile bizlere gülümsüyor.
ess_345	Kimse tutacak o yok ki!	Onu tutacak kimse yok ki!
pop_55	Japonya'da iki kış olimpiyat ev sahipliği var.	Japonya'nın dağarcığında iki de kış olimpiyatı ev sahipliği vardı.
ins_1609	Ben için elbise takımı bakmışım.	Benim için de takım elbiselere baktık.
news_279	OYAK Renault genel müdürü Alain Gabillet, Renault'un üretim geçmişinde yüzde 50'ye yakın oranla arttırdığı 197 bin 353 adet çıkarak böylece rekor kırdığını söyledi.	Oyak Renault Genel Müdürü Alain Gabillet ise, Renault'nun üretiminin geçen yıl yüzde 50'ye yakın oranda artarak, 197 bin 353 adede çıktığını, böylece rekor kırdıklarını söyledi.
ess_1872	Bu korku fırsatçılık sayesinde dünyanın en zengin enerji bölgesinin işgal edilmesi etmemiş mi?	Bu korku fırsatçılığı sayesinde dünyanın en zengin enerji bölgeleri işgal edilmedi mi?
ins_1345	Bir adım saydı.	On bir adım saydı.
bio_622	Sağ olan genç hastanın hâli hele anlaşılmadı.	Sağ olanlar hele gençler hastanın halinden anlamıyordu.
bio_1293	Ve işte o, beni kahret, somurtkanlaş, saatlerce ağla ve gözyaşı dolu...	Ve işte o, beni kahreden, somurtganlaştıran, saatlerce ağlatan, gözyaşlarıyla dolu...
pop_602	Bu için, "vajina bölge" tabir daha doğru ol.	Bunun için, "Vajina Bölgesi" tabiri daha doğru olur.
ins_1838	Ben hapşırdığım zaman abla çok güler.	Ben hapşırdığım zaman ablam çok güler.
pop_1817	islamiyetgercekleri.org web sitesi.	islamiyetgercekleri.org
ins_1495	Bal ana maddesi olan meyve şekeri, şeker kamışından hemen sonra sayesinde, hemen hemen iki misli daha tatlı.	Bal, ana maddesini teşkil eden meyve şekeri sayesinde şeker kamışından hemen hemen iki misli daha tatlıdır.
bio_545	Sevgi'nin TRT yarışmasına gönderdiği Yürümek romanını sevdim.	Sevgi'nin TRT yarışmasına gönderdiği Yürümek romanını sevdim.
ess_1247	Yerli kadınlar saçlarının üzerinde kızarmış yassı ekmeklerini pişirerek gösteriyorlar.	Yerli kadınlar sac üzerinde kızartılan yassı ekmeklerin pişirilmesini gösteriyorlar.
ess_1860	Aynı Roman Tunç Okan'ın tarafından sinemaya uyarlandı (1993).	Aynı roman Tunç Okan tarafından sinemaya uyarlandı (1993).
bio_948	Sevilgen adlı MSP'li mühendis, CHP'ye yönelik suçlamalara, parti için ün yapmayı başlayıp bile yargılanmadan beraat etti.	Gündüz Sevilgen adlı , MSP'li mühendis, CHP'ye yönelttiği suçlamalarda, partisi için ün yapmaya başlamıştı bile.
bio_1258	"Anlaşıldı, tamam."	"Anlaşıldı, tamam."
bio_512	Kriz merkezine bir ihbar üzer, depo sorumluluğu Kocaeli Üniversitesi tıp fakültesi personeline devredildi.	Kriz merkezine gelen bir ihbar üzerine, deponun sorumluluğu Kocaeli Üniversitesi Tıp Fakültesi personeline devredildi.
ins_995	Tilki, sanki bir an Ceren'e gülümsemiş.	Tilki, sanki bir an Ceren'e gülümsedi.
bio_213	yayıncılar, editörler, şeyler, röntgen gibi birbiri...	Yayıncılar, editörler, şaşılacak şey, röntgen gibi biliyorlar birbirlerini...
pop_1897	Profesyonel ligde takım bulunmuyor, 1. il.	Profesyonel liglerde takımı bulunmayan illerin 1.
news_802	Yeni yakınları izlediydik; 1974'te disco müziği akımı takip edildi ve Dalida izlendi.	Yenilikleri yakından izliyordu; 1974'te disco music akımına kapılmış gördük Dalida'yı.
