ins_833	1936 yılında değiliz.	1936 yılındayız.
ins_276	Ne kadar düşünsem, düşünsem de, televizyon izlemeden başka bir fikir gelmiyor aklıma.	Ne kadar düşünürsem düşüneyim, televizyonda izlediklerimden başka bir fikir gelmiyor aklıma.
ess_1954	Ben annem babam da tam olarak ol bil yine niye olmuş?	Bence anne babalar da tam olarak bilmiyordu niye olduğunu.
pop_1233	Atkuyruğu (zemberekotu).	Atkuyruğu (zemberekotu)
ess_1231	1925 yılı ilk yarısından itibaren, Türkiye muhalefet ve dolayısıyla siyaset yaşamının haklı tanılmadığı bir dönemden geçti.	1925'in ilk yarısından itibaren, Türkiye'de muhalefete ve dolayısıyla siyasete yaşama hakkı tanınmamıştır.
news_1402	Ancak saldırı henüz üstlenilmedi.	Ancak saldırıyı henüz üstlenen olmadı.
bio_1520	", 190 oyla bir meclis başkan seçim etkinliği oldu. Olmasaydı, meclis çalışmaya başlayıp anayasanın 84. maddesi (bu madde başkanlık divanıyla ilgilidir) işlerliği konusunda öngörüleri olan bir grup vazgeçer ve 1961 yılından beri uygulanan centilmenlik anlaşmasından da vazgeçer. Üç ihtimal bir kabul edilseydi, bugün meclis belki bir başkan olurdu."	"Grubumuz, 190 oyla bir Meclis Başkanı seçiminde etkin olamadığımızı düşündüğü anda, eğer Meclis'in çalışmaya başlamasını sağlamak ve Anayasa'nın 84'ncü maddesinin (bu madde başkanlık divanında partilerin oyları oranında temsil edilmesini öngörüyordu) işlerliğinden vazgeçmek ve 1961 yılından beri uygulanmakta olan centilmenlik anlaşmasından da vazgeçilmesine razı olmak gibi üç ihtimalden birini kabul etseydik, bugün Meclis'in belki bir başkanı olurdu.
pop_1332	dik dik yüz baktı.	Dik dik yüzüne baktı.
ins_1410	Bütün bir günü çalışmadık. Büyük bir sessizlik içerisinde geçirdik.	Bütün bir günü çalışmadan büyük bir sessizlik içerisinde geçirdik.
ins_1435	O zaman Kadifekale'de oturuydum.	O zamanlar Kadifekale'de otururlarmış.
pop_960	Faz sayısıyla birlikte bazı kadınlar da orgazm sırasında boşalır.	Fazla sayıda olmamakla birlikte bazı kadınlar da orgazm sırasında boşalırlar.
news_451	Türkiye'de hassasiyetler var.	Türkiye'de hassasiyetlerimiz var.
ins_1347	su yaşa yanında.	Sular yaşıyor yanımda
bio_1175	Bu stratejinin ortağı olarak Hürriyet'te ilk ben yazdım ve yazı da oldu gibi çıktı.	Bu stratejinin ortaya konulacağını Hürriyet'te ilk ben yazmıştım ve yazdıklarım da olduğu gibi çıkmıştı.
bio_1902	Benim için gerçek anlamında trajik bir olayın dönüşüne şahit oldum.	Benim için gerçek anlamda trajik bir olaya dönüşmüş.
bio_1315	Üç Demir çubuk bul getirin, de.	- Üç demir çubuk bulup getirin, dedi.
bio_51	Rehber yıllarında ustalık, önünde durduğumuz her yapı hakkında bilgi verin, biz.	Rehberimiz yılların verdiği ustalıkla, önünde durduğumuz her yapı hakkında bilgi veriyor bize.
ins_1973	hiç ağrı, çürük yok.	Hiç ağrı, çürük yok,
ess_587	Salt çık diye partiyle bağlanıp, paketle Refah Partisi rehin bırakılan bayan Çiller'e ödül ver.	Salt yargı önüne çıkarılmasın diye partisini bağlayıp, paketleyip Refah Partisi'ne rehin bırakan Bayan Çiller ödülünü alıyor.
ins_1717	Panik, korku, acı, ürkek ve donuk bakışlarla bakıyoruz.	Panik, korku, acı, ürkek ve donuk bakışlar,
bio_816	yalnız kaldığında şüpheli bakmış.	Yalnız kaldığında da baktığından şüpheliyim.
ins_991	Bayrama katılmak zorunlu; katılmayan köy halkı dışlanır.	Bayrama katılmak zorunludur; katılmayan, köy halkınca dışlanır.
ins_1433	Pamukkale'nin yanındaki kule gibi görünüşü ile Peri'nin bacaları karşılaşır ve sanki her bir baca başında komik şapka ile biz gülümseriz.	Pamukkale'nin yanında kule gibi görünüşleri ile Peri Bacaları karşılıyor ve sanki her bir baca başındaki komik şapkası ile bizlere gülümsüyor.
ess_345	Kimse tutacak o yok ki!	Onu tutacak kimse yok ki!
pop_55	Japonya'nın dağarcığında iki kış olimpiyatı ev sahipliği var.	Japonya'nın dağarcığında iki de kış olimpiyatı ev sahipliği vardı.
ins_1609	Benim için elbise takımına bak.	Benim için de takım elbiselere baktık.
news_279	OYAK Renault genel müdürü Alain Gabillet'in, Renault üretiminde geçen yıl yüzde 50'ye yakın artışla 197 bin 353 adet çıkarak rekor kırdığını söyledi.	Oyak Renault Genel Müdürü Alain Gabillet ise, Renault'nun üretiminin geçen yıl yüzde 50'ye yakın oranda artarak, 197 bin 353 adede çıktığını, böylece rekor kırdıklarını söyledi.
ess_1872	Bu korku fırsatçılık sayesinde dünyanın en zengin enerji bölgesi işgal edilmedi mi?	Bu korku fırsatçılığı sayesinde dünyanın en zengin enerji bölgeleri işgal edilmedi mi?
ins_1345	O bir adım saydı.	On bir adım saydı.
bio_622	Sağ olun, hele genç hastanın hâli anlaşıldı.	Sağ olanlar hele gençler hastanın halinden anlamıyordu.
bio_1293	Ve işte o, beni kahret, somurtkanlaş, saatlerce ağla, gözyaşı dolu...	Ve işte o, beni kahreden, somurtganlaştıran, saatlerce ağlatan, gözyaşlarıyla dolu...
pop_602	Bu için, "vajina bölge" tabir daha doğru ol.	Bunun için, "Vajina Bölgesi" tabiri daha doğru olur.
ins_1838	Ben hapşurduğum zaman abla çok güler.	Ben hapşırdığım zaman ablam çok güler.
pop_1817	islamiyetgercekleri.org web sitesi.	islamiyetgercekleri.org
ins_1495	Bal ana maddesi teşkil eden meyve şekerinin sayesinde şeker kamışından hemen iki misli daha tatlı.	Bal, ana maddesini teşkil eden meyve şekeri sayesinde şeker kamışından hemen hemen iki misli daha tatlıdır.
bio_545	Sevgi'nin TRT yarışmasına gönderdiği Yürümek romanını sevdim.	Sevgi'nin TRT yarışmasına gönderdiği Yürümek romanını sevdim.
ess_1247	Yerli kadınlar saçlarının üzerinde kızarmış yassı ekmeklerini pişirerek gösteriyorlar.	Yerli kadınlar sac üzerinde kızartılan yassı ekmeklerin pişirilmesini gösteriyorlar.
ess_1860	Aynı Roman Tunç Okan'ın tarafından sinemaya uyarlandı (1993).	Aynı roman Tunç Okan tarafından sinemaya uyarlandı (1993).
bio_948	Sevilgen adlı MSP'li mühendis, CHP'ye yöneltilen suçlama, parti için ün yapabileceği başlayıp da bile...	Gündüz Sevilgen adlı , MSP'li mühendis, CHP'ye yönelttiği suçlamalarda, partisi için ün yapmaya başlamıştı bile.
bio_1258	"Anlaşıldı, tamam."	"Anlaşıldı, tamam."
bio_512	Kriz merkezine bir ihbar üzer, depo sorumluluğu Kocaeli Üniversitesi Tıp Fakültesi personeline devredildi.	Kriz merkezine gelen bir ihbar üzerine, deponun sorumluluğu Kocaeli Üniversitesi Tıp Fakültesi personeline devredildi.
ins_995	Tilki, sanki bir an Ceren'e gülümse.	Tilki, sanki bir an Ceren'e gülümsedi.
bio_213	yayıncılar, editörler, şeyler, röntgen gibi birbiri...	Yayıncılar, editörler, şaşılacak şey, röntgen gibi biliyorlar birbirlerini...
pop_1897	Profesyonel ligdeki takımımız bulunmuyor, 1. ilde.	Profesyonel liglerde takımı bulunmayan illerin 1.
news_802	Yeni yakınları izledi; 1974'te disco müziği akımı kapandı ve Dalida'yı gördük.	Yenilikleri yakından izliyordu; 1974'te disco music akımına kapılmış gördük Dalida'yı.
ess_382	Deve kulakbile değil.	Devede kulak bile değil.
bio_1871	Hem ders anlaşıldı hem de kendi gözetimi altında ders çalışıldı.	Hem ders anlatıyordu hem de kendi gözetimi altında ders çalıştırıyordu.
pop_1954	Hafifçe renkli patlıcanları tepsiye koyup yayın. Üzerinde köftelerini hazırlayıp diz.	Hafifçe rengi dönmüş patlıcanları tepsiye yayıp tuzlayım Üzerine hazırladığınız köfteleri dizin.
pop_118	"Unutulmuş değerlere çıkın, haftanın etkin çerçevesinde arkeoloji müzesinde düzenlenen konferansta kentli ata davranış biçim detaylarını öğrenmeye hayranlıkla gizlenin."	"Unutulan değerlerimize sahip çıkalım" haftası etkinlikleri çerçevesinde Arkeoloji Müzesi'nde düzenlenen konferansta kentliler atalarının davranış biçimlerinin detaylarını öğrenirken hayranlıklarını gizleyemediler.
ess_541	gümüş yılını aş saygılı bir beraberlik "parlak" ışık, gün prizması önce iki böl tuz parçası olacak ysa, orta iki ayrık Karaoğlan, demokratik sol terazisi hangi kefeye seslenir?	Gümüş yılları aşan saygılı bir beraberliğin "parlak" ışıkları, günlerin prizmasında önce ikiye bölünüp tuz parça olacaksa, ortadan ikiye ayrık Karaoğlan, demokratik sol terazisinin hangi kefesinden sesleniyor?
bio_994	Ben değişik birini aradım.	Ben değişik birini arıyordum.
ins_786	Araştırma göster ki insanoğlu biz, genelde duygu hareket ettiği varlığız.	Araştırmalar gösteriyor ki insanoğlu olarak bizler, genelde duygularıyla hareket eden varlıklarız.
ins_955	İlk kez aile birlikte oyuncak aldık.	İlk kez ailesiyle birlikte oyuncak almaya çıkmıştı.
bio_1333	Her ülkede hem çalışıp hem de okuyanlar var.	Her ülkede hem çalışıp, hem de okuyanlar vardır.
news_1713	Geçen yıl Leeds United oynanan maçta yaşanan olay nedeniyle güvenlik konusu hassasiyeti dil getirilerek sarı-kırmızılı özel bir şirket korunarak bekleniyor.	Geçen yıl Leeds United'la oynanan maçlarda yaşanan olaylar nedeniyle güvenlik konusundaki hassasiyetini dile getiren Sarı-Kırmızılılar'ı özel bir şirketin koruması bekleniyor.
pop_472	Orta ısılı ateş karışıp kayna.	Orta ısılı ateşte karıştırılarak kaynatın.
ins_1322	Özellikle baş, boyun, el, ayak gibi büyük özellikleri kayıp merkez su asgari temas ol dikkat et ve bere, eldiven, yün giysi, Tulum, yağmurluk, rüzgârlık ve VB.	Özellikle baş, boyun, eller, ayaklar gibi büyük ısı kayıp merkezlerinin suyla asgari teması olmasına dikkat edilmeli ve bere, eldiven, yün giysiler, tulum, yağmurluk, rüzgârlık vb.
pop_93	Bu fiyaskoda haksızlık var.	Bu yüzden fiyasko demek haksızlık olur.
pop_1923	Kayıp gitti...	Kayıp gitti...
news_235	Bu seçim Kürt sorunu değil, siyasal bir sorun.	Bu seçimler Kürt sorununun ekonomik değil, siyasal bir sorun olduğunu da tescillemiş oldu.
pop_227	"Harika bir oyuncu."	"Harika bir oyuncu.
pop_807	İşte ben bu iletişimdeyim.	İşte ben buna iletişim diyorum.
ess_1373	Bağlar, aralarında ağaç kümelerinin geçtiği yerlerdir.	Bağlar, ağaç kümeleri geçerler ara ara.
news_1187	22 gün içinde İstanbul'daki sanat sergisi açıldı.	22. Günümüz Sanatçıları İstanbul Sergisi açılıyor
ins_1714	Bu sabah tesadüfen bir fişekle vurulmuştum, fakat Çarkıfelek başını iki yana salladı.	Bunu, bu sabah tesadüfen bir fişekten duydum." Fakat Çarkıfelek başını iki yana salladı.
pop_1351	Bu tür tartışmalı incir çekirdeği doludan da gına geldi.	Bu tür incir çekirdeğini doldurmayan tartışmalardan, onlara da gına gelmiştir.
bio_1587	doktorun adı "Sinan Şakrak" idi.	Doktorun adı, "Sinan Şakrak" idi.
pop_775	Malzeme:	Malzemeler:
ess_274	Çünkü dul bir kadının toplum karşısındaki sorumluluğu daha fazladır.	Çünkü dul bir kadının topluma karşı sorumlulukları daha fazla oluyor.
bio_15	Kalan insanların çoğu yurtdışına gitti.	Kalan insanların çoğu yurtdışına gittiler.
news_165	Marmara'ya doğru gelerek deprem konusunda uyarı yayınları önceden arkadaşların biriyle yapıldı.	Marmara'ya doğru gelen deprem konusunda depremden önce yayınlarıyla uyaran arkadaşlarımızdan birisiydi.
news_931	YP Muş milletvekili Muzaffer Demir'in transfer artığı millet partisi de hazine yardımı alabilir mi diye DYP'den istifa et Afyon milletvekili Baki Durmaz'ın transferi yapıldı.	YP'nin Muş Milletvekili Muzaffer Demir'i transferinin ardından Millet Partisi de Hazine yardımı alabilmek için DYP'den istifa eden Afyon Milletvekili Baki Durmaz'ı transfer etti.
news_1636	Araştırma yönelerek "sosyal güvenlik sistemi" hak bilgisi var mı? sorusu soruldu. İş değiş düşün yüz 58 "evet" yanıt verdi, iş ara katılımcı bu oran yüz 54 kal.	Araştırmada yöneltilen "Sosyal güvenlik sistemi hakkında bilginiz var mı?" sorusuna ise, iş değiştirmeyi düşünenlerin yüzde 58'i "evet" yanıtı verirken, iş arayan katılımcılarda bu oran yüzde 54'te kaldı.
bio_837	Akıl hâlâ nasıl öğrenildiğini öğrenmiş miyiz?	Aklı hâlâ kod adını nasıl olup da öğrendiklerindeydi.
ess_638	Bir gün mutlaka, karanlık kişilik satışlı ilişki yargılanmış aydınlık mahkemede hesap verilecektir.	Bir gün mutlaka, karanlıkların, kişilik satışlı ilişkilerin yargılandığı aydınlık mahkemelerde hesap vereceksiniz.
ess_715	Sonuç, Endülüs İbn-i Bacce, İbn-i Arabi, İbn-i Zahar, İbn-i Rüşd, İBN Hazm gibi dahi dahi yetişti.	Sonuçta Endülüs İbn-i Bacce, İbn-i Arabi, İbn-i Zahar, İbn-i Rüşd, İbn-i Hazm gibi dahiler yetiştirdi.
news_397	Onun istifa akıl uçu bile geçmedi." şeklinde vurgulandı.	Onun dışında istifa aklımın ucundan bile geçmez" dediği vurgulandı.
pop_951	Pastör bu aşıyı kuduzlu tavşanın omuriliğinden elde etti ve 1884 yılında ilk kez köpek Üzerinde denediği aşıyı kullanarak kuduz aşısını buldu.	Pastör bu aşıyı kuduzlu tavşan omuriliklerinden elde etmiş ve 1884 yılında ilk olarak köpekler üzerinde deneyerek basan elde etmişti.
news_1247	Güney Koreli aile kuzey üç gün kalacak.	Güney Koreli aileler kuzeyde üç gün kalacaklar.
bio_780	Bir sigara yaktım.	Bir sigara yaktım.
ins_731	Ad, Anadolu, Selçuklu'nun sınırında taşındı.	Adı, Anadolu'da, Selçuklu sınırlarından taşmıştı.
bio_743	Savaşa ve barışa karar veriyoruz, çok uzaktaydık ama hayat onları bize geri getirdi.	Savaşa, barışa karar verenler onlardan çok uzaktaydılar ama, hayat onlarındı.
ess_514	"Şubat'ta Paris'te Alphonse de Neuville Sokağı'nda nemli, bulanık ve kirli hava doğru solu için sabırsızlandı."	" Şubat Paris'inin Alphonse de Neuville Sokağı'na bakan nemli, bulanık ve kirli havasını doğrudan solumak için sabırsızlanıyordu.
bio_1094	Aile kabul etmemiştim.	Aileme kabul ettiremezdim
ins_1578	Kızgınlık haklı görür ama beni aşağılama.	Kızgınlığınızı haklı görebilirim ama beni aşağılamayın.
bio_373	Daha ilk temasında Dr. İrdelp'in yüzünden aldığı biçim, bir tatsızlık olmuş anlaşılan.	Daha ilk temasında Dr. İrdelp'in yüzünün aldığı biçimden, bir tatsızlık olduğu anlaşıldı:
bio_1317	Neden bilmiyorum.	Nedenini bilemiyorum.
ins_735	Kırmızı her şey önce.	Kırmızı her şeyden önce
bio_1096	Nereye benim Aksaray'daki evim? Hani köşedeki büfe? Bir gece üç, üç 24 tane sosisli alın, büfe?	Nerde benim Aksaraydaki evim? Hani köşesinde büfe olan, hani bir gece üçer üçer 24 tane sosisli aldığımız büfe?..
ess_1405	Korku, karşı çıkma, hakaret, tehdit et, sadece ve sadece bu ulusal direniş.	Korkulan, karşı çıkılan, hakaret, tehdit edilen sadece ve sadece bu ulusal direniş.
news_632	15 yaşındayken Avrupa şampiyonluğunu yakaladım.	15 yaşında yıldızlarda Avrupa şampiyonluğunu yakaladım.
pop_98	Eğlenceyi iyi giy, arkadaşının evine git, sev.	Eğlenceyi, iyi giyinmeyi, arkadaşlarının evine gitmeyi severler.
ess_1163	Gazete sahibi Mehmet Ali Yılmaz, "Davos beraber git," dedi.	Gazetenin sahibi Mehmet Ali Yılmaz'a, "Davos'a beraber gidelim," dedim.
ins_268	2. yaşa yer taşınmayı hissettiniz mi?	2. Yaşadığınız yerden taşınsaydınız neler hissederdiniz?
ess_258	Öyle aşk ve şevk içinde tavaf yapıyordum, adeta kendim geçmişim.	Öyle aşk ve şevk içinde tavaf yapıyordum ki, âdeta kendimden geçmiştim.
news_1488	Çorum'daki bir iş merkezinde doğal gaz dönüşüm çalışmaları sırasında çıkan yangın nedeniyle üst katlarda mahsur kalan yaklaşık 30 kişi itfaiye ekipleri tarafından kurtarıldı.	Çorum'da, bir iş merkezinde doğal gaz dönüşüm çalışmaları sırasında çıkan yangının ardından oluşan duman sebebiyle üst katlarda mahsur kalan çoğu kadın yaklaşık 30 kişi itfaiye ekiplerince kurtarıldı.
ins_1065	İki obanın yiğitleri at biner, silahlanır.	İki obanın yiğitleri atlarına biner, silahlanırlar.
pop_660	Budapeşte tren istasyonu yorgun.	Budapeşte Tren istasyonu yorgun.
ess_925	Parkın az ileri denizi kıyısındaydı.	Parkın az ilerisi deniz kıyısıydı...
bio_1753	Çeviriyi yapıp, boy kitap okuyup öneri getirdi.	Çeviriler de yapar, boyuna kitap okuyup öneriler getirirdi.
pop_359	1 tatlı kaşığı tuz.	1 tatlı kaşığı tuz
news_585	Bu olumsuzluk rağmen burada çok güçlüyüz.	Bu olumsuzluklara rağmen burada çok güçlüyüz.
ess_792	Nisan neden verdi halk konserde, binlerce gencin oluşu "cıvıltı" kümesinin, Ceylan şarkısını büyük bir coşkuyla söyle, Türkiye laik, laik kal, gönül sesini hiç mi ağırlık ol?	Nisan nedeniyle verdiği halk konserinde, binlerce gencin oluşturduğu o "cıvıltı kümesi" nin , "Ceylan" şarkısını söylercesine büyük bir coşkuyla "Türkiye laiktir, laik kalacak" diye gönül sesi vermesinin hiç mi ağırlığı olmadı?
pop_669	Falkenhayn karargâhını İstanbul'da kurmuş.	Falkenhayn karargahını önce İstanbul'da kurdu.
news_920	imgesel çağrışım açık balık, kuş, yaprak, doğa kesiti... modüler birim, renk skalası ve oran farklılığı akıcı hâlde dönüş izleyici hareket yönü ve duruş nokta öner eklemli parça, çevreki boşluk eşit aralıkta tara kendi mekânı içeri kalıcı bir yer ara yuvarla form, o biçim dil teknik ve estetik imkân oluş.	İmgesel çağrışımlara açık (balık, kuş, yaprak, doğa kesiti...) modüler birimler, renk skalası ve oran farklılığıyla akıcı hale dönüşüp izleyiciye hareketin yönünü ve duruş noktasını öneren eklemli parçalar, çevresindeki boşluğu eşit aralıklarla tarayarak kendisine mekân içerisinde kalıcı bir yer arayan yuvarlatılmış formlar, onun biçim dilinin teknik ve estetik imkânlarını oluşturuyor.
pop_1021	Tarih, doktor tarafından ileri alındı.	Tarihin Doktor Tarafından İleri Alınması
