Language,Treebank Name,Token count,Word count,Sentence count,Family,Domains,Properties
Tamil,MWTT,2536,2584,534,Dravidian,news,"Lemmas, Features"
Tatar,NMCTT,2280,2280,148,"Turkic, Northwestern","news, nonfiction","Lemmas, Features"
Teko,TuDeT,2689,2896,913,"Tupian, Maweti-Guarani",grammar-examples,"Lemmas, Features"
Telugu,MTG,6465,6465,1328,Dravidian,grammar-examples,Features
Thai,PUD,22322,22322,1000,Tai-Kadai,"news, wiki",Features
Tupinamba,TuDeT,4397,4508,581,"Tupian, Maweti-Guarani","news, nonfiction","Lemmas, Features"
Turkish,Kenet,178658,178658,18687,"Turkic, Southwestern",grammar-examples,"Lemmas, Features"
Turkish,Penn,183555,183555,16396,"Turkic, Southwestern","news, nonfiction","Lemmas, Features"
Turkish,Tourism,91152,91152,19830,"Turkic, Southwestern",reviews,"Lemmas, Features"
Turkish,Atis,45907,45907,5432,"Turkic, Southwestern","news, nonfiction","Lemmas, Features"
Turkish,GB,16803,17177,2880,"Turkic, Southwestern",grammar-examples,"Lemmas, Features"
Turkish,FrameNet,19223,19223,2698,"Turkic, Southwestern",grammar-examples,"Lemmas, Features"
Turkish,BOUN,121835,125212,9761,"Turkic, Southwestern","news, nonfiction","Lemmas, Features"
Turkish,IMST,56422,58096,5635,"Turkic, Southwestern","news, nonfiction","Lemmas, Features"
Turkish,PUD,16535,16881,1000,"Turkic, Southwestern","news, wiki","Lemmas, Features"
Turkish German,SAGT,36934,37227,2184,Code switching,spoken,"Lemmas, Features"
Ukrainian,IU,122934,122983,7092,"IE, Slavic","blog, email, fiction, grammar-examples, legal, news, reviews, social, web, wiki","Lemmas, Features, Secondary dependencies"
Umbrian,IKUVINA,733,786,133,"IE, Italic",nonfiction,Features
Upper Sorbian,UFAL,11196,11196,646,"IE, Slavic","nonfiction, wiki","Lemmas, Features"
Urdu,UDTB,138077,138077,5130,"IE, Indic",news,"Lemmas, Features"
Uyghur,UDT,40236,40236,3456,"Turkic, Southeastern",fiction,"Lemmas, Features"
Veps,VWT,1303,1303,103,"Uralic, Finnic",grammar-examples,"Lemmas, Features"
Vietnamese,VTB,58069,58069,3323,"Austro-Asiatic, Viet-Muong",news,"Lemmas, Features"
Warlpiri,UFAL,306,315,55,Pama-Nyungan,grammar-examples,"Lemmas, Features"
Welsh,CCG,47747,48530,2473,"IE, Celtic","fiction, grammar-examples, news, nonfiction, wiki","Lemmas, Features"
Western Armenian,ArmTDP,121583,122907,6656,"IE, Armenian","blog, fiction, news, nonfiction, reviews, social, spoken, web, wiki","Lemmas, Features"
Western S.P. Nahuatl,ITML,9234,10123,909,Uto-Aztecan,"fiction, grammar-examples, nonfiction, spoken","Lemmas, Features, Secondary dependencies"
Wolof,WTB,42832,44258,2107,"Niger-Congo, Northern Atlantic","bible, wiki","Lemmas, Features"
Xavante,XDT,1589,1597,148,Macro-Je,grammar-examples,"Lemmas, Features"
Xibe,XDT,15401,15401,810,Tungusic,"grammar-examples, news","Lemmas, Features"
Yakut,YKTDT,1459,1460,299,"Turkic, Northeastern","news, nonfiction","Lemmas, Features"
Yoruba,YTB,8198,8243,318,"Niger-Congo, Defoid","bible, wiki","Lemmas, Features"
Yupik,SLI,1221,2568,309,Eskimo-Aleut,grammar-examples,"Lemmas, Features"
Zaar,Autogramm,7618,7625,817,"Afro-Asiatic, West Chadic",grammar-examples,"Lemmas, Features"
