sent_id,original,Tarık_v2.8,Tarık_v2.11,Akif_v2.8,Akif_v2.11,llm_v2.8,llm_v2.11
ins_1938,"yıl arifesinde, tüketiciler arasında ilk akla gelen markanın Çiko olmadığı, daha yeni şekerlerin tercih edildiğini gösterir.","Yıl arifesinde, tüketilenler arasında ilk akla gelen markanın Çiko olmadığı, daha yeni şekerlerin tercih edildiğini gösterir.","Yıl arifesinde, tüketiciler arasında ilk akla gelen markanın Çiko olmaması, daha yeni şekerlerin tercih edildiğini gösterir.","Yıl arifesinde, tüketiciler arasında ilk akla gelen markanın Çiko olmaması, daha yeni şekerlerin tercih edildiğini gösterir","Yıl arifesinde, tüketiciler arasında ilk akla gelen markanın Çiko'yu olmadığı, daha yeni şekerlerin tercih edildiğini gösterir.","Yıl Arifesi'nde, tüketicilerin aklına ilk gelen marka Çiko olmamış, daha yeni Şekerler tercih edilmiş gösteriyor.","Yıl Arife'sinde, tüketiciler arasında ilk akla gelen marka Çiko olmamış, daha yeni şeker tercih edilmiş gösteriyor."
ins_887,Unutma lütfen bunları!,Unut lütfen bunları!,Unut lütfen bunları!,Unut lütfen bunu!,Unut lütfen bunları !,Unutulmasın bu lütfen!,Unutmayın lütfen bunu!
ins_636,"Anadolu Selçukluları devrinden Osmanlıların son yıllarına kadar bir esnaf ve sanatkâr örgütü olarak bilinen ahiliğin her köyde, her kasabada ve şehirde, ocakları, odaları ve tekkeleri vardı.","Anadolu Selçukluları devrinden Osmanlıların son yıllarına kadar bir esnaf ve sanatkâr örgütü olarak bilinen Ahilerin her köy, her kasabada ve şehirde, ocakları, odaları ve tekkeleri vardı.","Anadolu Selçukluları devrinden Osmanlıların son yıllarına kadar bir esnaf ve sanatkâr örgütü olarak bilinen Ahilerin her köy, her kasabada ve şehirde, ocakları, odaları ve tekkeleri vardı.","Anadolu Selçuklu devrinden Osmanlı'nın son yıllarına kadar bir esnaf ve sanatkar örgütü olduğu bilinen ahinin her köyde, her kasabada ve şehirde, ocakları, oda ve tekkeleri vardı.","Anadolu Selçükluları devrinden Osmanlılar'ın son yıllarına kadar bir esnaf ve sanatkâr örgütü olarak bilinen ahinin her köyde, her kasabada ve şehirde, ocakları, odaları ve tekkeleri vardı. ","Anadolu Selçuklu devrinden Osmanlı'nın son yıllarına kadar bir esnaf ve sanatkâr örgütü olmuş olan Ahi'nin her köyde, her kasabada ve şehirde ocakları, odaları ve tekkesi vardı.","Anadolu Selçuklu devrinden Osmanlı'nın son yıllarına kadar bir esnaf ve sanatkâr örgütü olabilmektedir ki, ahi her köyde, her kasabada ve her şehirde ocaklar, odalar ve tekkeler vardı."
news_1273,Canımın istediği şarkıları söylüyorum.,Canımın istediği şarkıları söylüyor.,Canımın istediği şarkıyı söylüyorum.,Canının istediği  şarkıyı söylüyor.,Canımın istediği şarkıları söylüyorum.,Canımın istediği şarkıları söylüyorum.,Canımın istediği şarkıları söylüyorum.
ins_791,- Şimdi de bol şekerli şerbet.,- Şimdi de bol şeker Şerbet.,- Şimdi de bol şekerli şerbet.,- Şimdi de bol şeker şerbet.,- Şimdi de bol şekerli Şerbet.,- Şimdi de bol şekerli şerbet.,- Şimdi de bol şekerli şerbet.
news_1406,Dönerken de soruyorsunuz...,Dönüp de soruyorsunuz,Dönerse de sor...,Dönerken de soruyor.,Dönerken de sorun.,Dönerken de sorun...,Dönüyor de sorun.
ins_1892,Bunlar o zamana göre (Hitler'in sınıra dayandığı 1940'lı savaş yılları) büyük lükstü.,Bunlar o zamana göre (Hitler'in sınıra dayandığı 1940'lı savaş yılları) büyük lükstü.,Bunlar o zamana göre (Hitler'in sınıra dayandığı 1940'lı savaş yılları) büyük lükstü.,Bu o zamana göre ( Hitler'in sınıra dayandığı 1940'lı savaş yılları ) büyük lüks. ,Bunlar o zamana göre (Hitler'in sınıra dayandığı 1940'lı savaş yılları) büyük lükstü. ,Bu o zamana göre (Hitler'in sınırına dayanan 1940 savaş yılları) büyük lüks.,Bu o zamana göre (Hitler'in sınırına dayanan 1940'lı savaş yılları) büyük lüksüydü.
pop_1612,Soğanı yemeklik doğrayın.,Soğanları yemeklik doğrayın.,Soğanı yemeklik doğrayın.,Soğanı yemeğe doğrayın,Soğanı yemeklik doğra. ,Soğanı yemek için doğrayın.,Soğanı yemeklik doğrayın.
ess_329,"Birkaç yıldır, Kürt, Kıbrıs, Ermeni ve diğer azınlık sorunlarının, AB'ye girişin, İslamcı kökenli bir partinin iktidara gelişinin etkisiyle ve bunlara tepki olarak, milliyetçilik yükselmeye başladı.","Birkaç yıldır, Kürt, Kıbrıs, Ermeni ve diğer azınlık sorunlarının, AB'ye girmenin, İslamcı kökenli bir partinin iktidara gelmesinin etkisi ve bunlara tepki olarak, milliyetçilik yükselmeye baladı.","Birkaç yıldır, Kürt, Kıbrıs, Ermeni ve diğer azınlık sorunlarının, AB'ye girmenin, İslamcı kökenli bir partinin iktidara gelmesinin etkisiyle ve bunlara tepki olarak, milliyetçilik yükselmeye başladı.","Birkaç yıldır, Kürt, Kıbrıs, Ermeni ve diğer azınlık sorunlarının, AB'ye girmenin, İslam kökenli bir partinin iktidara gelmesinin etkisiyle ve buna tepki olarak, milliyetçilik yükselmeye başlamıştı. ","Birkaç yıldır, Kürt, Kıbrıs, Ermeni ve diğer azınlık sorunlarının, AB'ye girmenin, islamcı kökenli bir partinin iktidara gelmesinin etkisiyle ve bunlara tepki olarak, milliyetçilik yükselmeye başladı. ","Birkaç yıldır, Kürt, Kıbrıs, Ermeni ve diğer azınlık sorunları, AB'ye giriş, İslam kökenli bir partinin iktidara gelmesi, etki ve bu tepkilere, milliyetçiliğin yükselişiyle başladı.","Birkaç yıldır, Kürt, Kıbrıs, Ermeni ve diğer azınlık sorunları, AB'ye giriş, İslamcı kökenli bir partinin iktidara gelmesi, etki ve bu tepkilerle, milliyetçiliğin yükselişi başladı."
bio_1666,"Oysa 1961'in sonbaharında, yani 1961 Ekiminde Orta Doğu Teknik Üniversitesi bütün bu gereçlerden yoksun bulunmakta idi.","Oysa 1961 sonbaharında, yani 1961 ekiminde Orta Doğu Teknik Üniversitesi bütün bu gereçlerden yoksun bulunmaktaydı.","Oysa 1961 sonbaharında, yani 1961 ekiminde Orta Doğu Teknik Üniversitesi bütün bu gereçlerden yoksun bulunmaktaydı.","Oysa 1961'in sonbaharında, yani 1961 Ekimi'nde Orta Doğru Teknik Üniversitesi bütün bu gereçten yoksun bulunmaktaydı. ","Oysa, 1961'in sonbaharında, yani 1961 Ekim'inde Orta Doğu Teknik Üniversitesi bütün bu gereçlerden yoksun bulunmaktaydı.","Oysa 1961 sonbaharında, yani 1961 Ekim'inde, Orta Doğu Teknik Üniversite bütün bu gereçlerden yoksun bulunuyordu.","Oysa 1961 sonbaharında, yani 1961 Ekim'inde, Orta Doğu Teknik Üniversitesi bütün bu gereçlerden yoksun bulundu."
pop_1193,"Bir de, sadece buraya özel dedikleri bir içki ikram ettiler.","Bir de, sadece buraya özel dedikleri bir içiki ikram ettiler.","Bir de, sadece buraya özel dedikleri bir içki ikram ettiler.","Bir de, sadece buraya özel dediği bir içki ikram etti.","Bir de, sadece buraya özel de","Bir de, sadece buraya özelde bir içki ikram ettiler.","Bir de, sadece buraya özeldeğil bir içki ikram ettiler."
pop_1585,* Açıklanamayan vajinal kanama durumunda.,* Açıklanamayan vajinal kanama durumunda.,*Açıklanamayan vajinal kanama durumunda.,* açıklanmayan vajinal kanama durumunda.,* açıklanamayan vajinal kanama durumunda.,*Açıklanmayan vajinal kanamanın durumunda.,*Açıklanmayan vajinal kanama durumunda.
bio_1386,Mücadelem süresince coşkum bu korkuma eşlik etti.,Mücadelem süresince coşkum bu korkuma eşlik etti.,Mücadelem süresince coşkum bu korkuma eşlik etti.,Mücadelesi süre coşkusu bu korkusuna eşlik etti.,Mücadelem süresi coşkum bu korkuma eşlik etti.,Mücadelem süresince coşkum bu korkuya eşleşti.,Mücadelem süresince coşkum bu korkuya eşlik etti.
pop_62,"""İstanbul aslında deprem kuşağının tam göbeğindeymiş.","""İstanbul aslında deprem kuşağının tam göbeğindeymiş.","""İstanbul aslında deprem kuşağının tam göbeğindeymiş.",İstanbul aslında deprem kuşağının tam göbeğindeymiş.,"""İstanbul aslında deprem kuşağının tam göbeğindeymiş. """,İstanbul aslında deprem kuşağının tam göbeğindeydi.,"""İstanbul aslında deprem kuşağının tam göbeğindeydi."""
pop_1579,"Sonra, kendinizi anlatın birbirinize.","Sonra, kendinizi anlatın birbirlerinize.","Sonra, kendilerinizi anlatın birbirlerinize.","Sonra, kendinizi anlatın birbirlerinize","Sonra, kendilerini anlatsınlar birbirlerine  ","Sonra, kendi anlatın birbirinize.","Sonra, kendi hikayelerinizi birbirinize anlatın."
ins_274,- Aynı olay Amerika'da da olmuş.,- Aynı olay Amerika'da da olmuş.,- Aynı olay Amerika'da da olmuş.,- Aynı olay Amerika'da da olmuştu.,- Aynı olay Amerika'da da olmuştu. ,-Aynı olay Amerika'da da oldu.,-Aynı olay Amerika'da da oldu.
bio_1401,"Ama on üç on dört yaşma geldiğimde, gene evdeki konuşmalardan, biliyordum bunların olduğunu.","Ama on üç on dört yaşlarına geldiğimde, gene evde konuşulanlardan, biliyordum bunların olduğunu.","Ama on üç on dört yaşlarıma geldiğimde, gene evdeki konuşmalardan, biliyordum bunların olduğunu.","Ama on üç on dört yaşına geldiğimde, gene evdeki konuşmalardan, biliyordum bunun olduğunu","Ama on üç on dört yaşıma geldiğinde, gene evdeki konuşmalardan, biliyordum bunların olduğunu.","Ama on üç on dört yaşına gelmişken, genel evlerden konuşan bu olayı biliyordum.","Ama on üç, on dört yaşına gelmişken, gene evdeki konuşmalardan, biliyordum bu olayı."
news_291,"""Kıbrıs çözülürse Türkiye'ye tarih verilmesine kimse itiraz edemeyecek"" görüşünü dile getiren Papandreu, ""Türkiye için çarpışıyoruz, ama Almanya'nın ne yapacağı önemli"" dedi.","""Kıbrıs çözerse Türkiye'ye tarih verilmesine kimse itiraz etmeyecek"" görüşünü dile getiren Papendreu, ""Türkiye için çarpışırız, ama Almanya'nın ne yapacağı önemli"" dedi.","""Kıbrıs çözerse Türkiye'ye tarih verilmesine kimse itiraz etmeyecek"" görüşünü dile getiren Papendreu, ""Türkiye için çarpışırız, ama Almanya'nın ne yapacağı önemli"" dedi.","""Kıbrıs çözülürse Türkiye'ye tarih verilmesine kimse itiraz etmeyecek "" görüşünü dile getiren Papandreu, ""Türkiye için çarpışıyoruz , ama Almanya'nın ne yapacağı önemli"" dedi.","""Kıbrıs çözülürse, Türkiye'ye tarih verilmesine kimse itiraz etmeyecek"" görüşünü dile getiren Papandreu,  ""Türkiye için çarpışıyoruz, ama Almanya'nın neyi yapacağı önemli"" dedi.","Kıbrıs çözülse Türkiye'ye tarih veren kimse itiraz etmeyecektir ""görüşü"" dil getiren Papandreu, ""Türkiye için çarpışıyoruz,"" ama Almanya'nın ne yapacağı önemli dedi.","""Kıbrıs çözülse Türkiye'ye tarih veren kimse itiraz etmeyecektir,"" görüşü dile getiren Papandreu, ""Türkiye için çarpışırız, ama Almanya'nın ne yapacağı önemlidir de."""
news_1043,Kapatma kararı alınmaması sonrası AKP'lilerin sevinçleri TBMM Genel Kurul salonuna da yansıdı.,Kapatma kararı alınmaması sonrası AKP'lilerin sevinçleri TBMM Genel Kurul salonuna da yansıdı.,Kapatma kararı alınmaması sonrası AKP'lilerin sevinçleri TBMM Genel Kurul salonuna da yansıdı.,Kapatma kararı alınmaması sonrası AKP'lilerin sevinçleri TBMM genel kurul salonuna da yansımıştı. ,Kapatma kararı alınmaması sonrası AKP'lilerin sevinçleri TBMM genel kurul salonuna da yansıdı. ,Kapatma kararı alınmadan sonra AKP'nin sevinci TBMM genel kurul salonunda da yansıdı.,Kapatma kararı alınmadan sonra AKP'nin sevinçleri TBMM genel kurul salonunda da yansıdı.
ins_1037,Hem bir şeyler satmaya hem bir şeyler alıp gelmeye.,Hem bir şeyler satmaya hem bir şeyler almaya gelmiş.,Hem bir şeyler satmaya hem bir şeyler almaya geldi.,Hem bir şeyler satmaya hem bir şeyler alıp gelmeye.,"Hem bir şeyleri satmaya, hem bir şeyleri almaya gelmeye.",Hem bir şeyler sattı hem de bir şeyler aldı.,Hem bir şeyi satıp hem bir şeyi alıp geldi.
pop_802,Ne yapacakları önceden pek kestirilemez.,Ne yapacakları önceden pek kestirilmez.,Ne yapacakları önceden pek kestirilemez.,Ne yapacağı önceden pek kestirilmez.,Ne yapacakları önceden pek kestirilemiyor. ,Ne yapacaklarından önce pek kesilmez.,Ne yapacaklarından önce pek kesilmez.
pop_847,"Puşkin'in satırlarına yansıyan Erzurum, 150 yıl sonra da aynı karakteristik özelliklerini koruyordu.","Puşkin'in satırlarına yansıyan Erzurum, 150 yıl sonra da aynı karakteristik özelliklerini koruyordu.","Puşkin'in satırlarına yansıyan Erzurum, 150 yıl sonra da aynı karakteristik özelliklerini koruyordu.","Puşkin'in satırlarına yansıyan Erzurum, 150 yıl sonra da aynı karakteristik özelliklerini koruyordu.","Puşkin'in satırlarına yansıyan Erzurum, 150 yıl sonra da aynı karakteristik özellliklerini koruyordu.  ","Puşkin'in satırlarına yansıyan Erzurum, 150 yıl sonra da aynı karakteristik özellikleri korudu.","Puşkin'in satırlarına yansıyan Erzurum, 150 yıl sonra da aynı karakteristik özellikleri korudu."
news_697,Muhalefet partisi lideri bu savcının yaptığını 'sivil darbe' olarak niteledi.,Muhalefet partisi lideri bu savcının yaptığını 'sivil darbe' olarak nitelendirdi.,Muhalefet partisi lideri bu savcının yaptığını 'sivil darbe' olarak nitelendirdi.,Muhalefet partisi lideri bu savcının yaptığını  'sivil darbe' olarak niteledi.  ,Muhalefet partisi lideri bu savcının yaptığını 'sivil darbe' olarak niteledi. ,Muhalefet partisinin lideri bu savcının yaptığı 'sivil darbe'yi nitelendirdi.,"Muhalefet partisinin lideri, bu savcının yaptığı 'sivil darbe' olmuş nitelendi."
ess_1924,"'Yalnız, neden yaşamak ıstırap verici bir şey?","Yalnız, neden yaşamak ıstırap verici bir şey?","Yalnız, neden yaşamak ıstırap verici bir şey?","Yalnız, neden yaşamak ıstırap verici bir şey ?"," Yalnız, neden yaşamak ıstırap verici bir şey ?","Yalnız, neden yaşa ıstırap verici bir şey?","'Yalnız, neden yaşa ıstırap verici bir şey?'"
ins_414,Gülerken düşündürür.,Güldürürken düşündürür.,Güldürürken düşündürür.,Gülüp düşündür.,Gülerken düşündür.,Güldürsün düşünsün.,Gülüyor düşündürüyor.
bio_265,"Ahmet Hamdi Tanpınar, Beş Şehir adlı başyapıtında Konya'yı dile getirirken, 699 yılının o müthiş günlerinden de söz açar.","Ahmet Hamdi Tanpınar, beş şehir adlı başyapıtında Konya'yı dile getirirken, 699 yılının o müthiş günlerinden de söz açar.","Ahmet Hamdi Tanpınar, beş şehir adlı başyapıtında Konya'yı dile getirirken, 699 yılının o müthiş günlerinden de söz açar.","Ahmet Hamdi Tanpınar, Beş Şehir adlı başyapıtında Konya'yı dile getirip, 699 yılının o müthiş gününden de söz açar.","Ahmet Hamdi Tanpınar, Beş Şehir adlı başyapıtında Konya'yı dile getirirken, 699 yılının o müthiş günlerinden de söz açar.","Ahmet Hamdi Tanpınar, beş şehir adını başyapıtına Konya'ya getirdiği, 699 yılının o müthiş gününden de söz açtı.","Ahmet Hamdi Tanpınar, Beş Şehir adlı başyapıtında Konya'ya dil getirdi, 699 yıl önceki o müthiş günden de söz açtı."
ess_539,"Çocuğunuz, oturacak bir okul sırasına sahip olamayabilir...","Çocuklarınız, oturacak bir okul sırasına sahip olamayabilir.","Çocuklarınız, oturulacak bir okul sırasına sahip olamayabilir...","Çocuğu, oturacak bir okul sırasına sahip olamayabilir.","Çocukların, oturacağı bir okul sırasına sahip olamayabilir...","Çocuk, gelecekte bir okul sırasına sahip olamayacak...","Çocuk, oturacağı okulun sırasına sahip olamıyor..."
pop_795,Aşağı yukarı böyle bir şey; detayları atlamış olabilirim zira çok uzun yıllardır bu faaliyette bulunmuyorum.,Aşağı yukarı böyle bir şey; detaylarını atlamış olabilirim zira çok uzun yıllar bu faaliyette bulunmuyorum.,Aşağı yukarı böyle bir şey; detayları atlamış olabilirim zira çok uzun yıllardır bu faaliyette bulunmuyorum.,Aşağı yukarı böyle bir şey; detayları atlamış olabilirim zira çok uzun yıllardır bu faaliyette bulunmmuyorum.,Aşağı yukarı böyle bir şey; detayları atlamış olabilirim zira çok uzun yıllar bu faaliyette bulunmadım. ,Aşağı yukarı böyle bir şey; detayları atladı olurum zira çok uzun yıllar bu faaliyette bulunmam.,Aşağı yukarı böyle bir şey; detayları atladım olabilirim zira çok uzun yıllar bu faaliyette bulunmadım.
ess_825,Ölümle şakalaşabildiğimiz zaman parçası.,Ölümle şakalaşabildiğimiz zaman parçaları.,Ölümle şakalaşabildiğim zaman parçası.,Ölümle şakalaşabildiği zaman parçası.,Ölümle şakalaşabildiğimiz zaman parçası.,Ölümle şakalaşmış zamanın parçası.,Ölümle şakalaşmış zamanın parçası.
news_1295,"Dünyanın hiçbir yerinde kayıt dışı 0 değildir.""","Dünyanın hiçbir yerinde kayıt dışı 0 değil.""","Dünya'nın hiçbir yerde kayıt dışı 0 değil.""",Dünyanın hiçbir yerinde kayıt dışı 0 değil.,Dünya'nın hiçbir yerinde kayıt dışı 0 değil.,Dünyanın hiçbir yerinde kayıt dışı değil.,Dünyanın hiçbir yerinde kayıt dışı değil.
bio_433,"Berlin'de, her gün biraz daha fazla ısınmaya başladığım bu ülkeyi daha iyi tanıyabilmek amacıyla Türkler ve Almanlar arasındaki geleneksel bağları konu alan belgeleri araştırdım.","Berlin'de, her gün biraz daha fazla ısınmaya başladığımız bu ülkeyi daha iyi tanıyabilmek amacıyla Türkler ve Almanlar arasındaki geleneksel bağları konu alan belgeleri araştırdım.","Berlin'de, her gün biraz daha fazla ısınmaya başlamış bu ülkeyi daha iyi tanıyabilme amacıyla Türkler ve Almanlar arasındaki geleneksel bağları konu alan belgeleri araştırmıştım.","Berlin'de, her gün biraz daha fazla ısınmaya başlayan bu ülkeyi daha iyi tanıyabilme amacıyla Türkler ve Almanlar arasında geleneksel bağları konu alan belgeleri araştırdım.  ","Berlin'de, her gün biraz daha fazla ısınmaya başladığım bu ülkeyi daha iyi tanıyabilmek amacıyla Türkler ve Almanlar arasındaki geleneksel bağları konu alan belgelerini araştırırdı.  ","Berlin'de, her gün biraz daha fazla ısındığımda bu ülkeyi daha iyi tanıma amacıyla Türk ve Alman arasındaki geleneksel bağları konu alan belgeleri araştırdım.","Berlin’de, her gün biraz daha fazla ısınmaya başladığım bu ülkeyi daha iyi tanımak amacıyla Türk ve Alman arasındaki geleneksel bağları konu alan belgeleri araştırdım."
pop_929,Grönland ve Antartika'nın erimesi sonucu sular altında kalan İstanbul'dan kurtulanların barındığı Bolu dağlarındaki balıkçılar lüfer akınından çok mutlu oldular.,Grönland ve Antartika'nın erimesi sonucu sular altında kalan İstanbul'dan kurtulanların barındığı Bolu dağlarında balıkçılar lüfer akınından çok mutlu oldular.,Grönland ve Antartika'nın erimesi sonucu su altında kalan İstanbul'dan kurtulanların barındığı Bolu dağlarındaki Balıkçılar lüfer akınından çok mutlu oldular.,Grönland ve Antarktika'nın erimesi sonucu sular altında kalan İstanbul'dan kurtulanların barındığı Bolu Dağı'nda lüfer akınından çok mutlu oldular.,Grönland ve Antartika'nın erimesi sonucu sular altında kalan İstanbul'dan kurtulanların barındığı Bolu dağlarındaki balıkçılar lüfer akınından çok mutlu oldular.,Grönland ve Antartika'nın eriyen sonuçları İstanbul'dan kurtulan suların altında kalan İstanbul'un Bolu dağlarında barınan Balıkların lüferlerden akınından çok mutlu oldular.,Grönland ve Antarkika'nın eriyen sonuçları İstanbul'dan kurtulan su altında kalan Bolu dağlarındaki balıkçılar lüferin akınından çok mutlu oldular.
ins_920,Ben de bu erdemin yüksek bir derecesine sahibim.,Ben de bu erdemin yüksek bir derecesine sahibim.,Ben de bu erdemin yüksek bir derecesine sahibim.,Ben de bu erdemin yüksek bir derecesine sahibim.,Ben de bu erdemin yüksek bir derecesine sahibim.,Bende bu erdemin yüksek bir derecesine sahipim.,Bende bu erdemin yüksek bir derecesine sahip.
ess_1832,"Önlüğü bile özel dikilmiş, çünkü onun boyuna göre önlük yok.","Önü bile özel dikilmiş, çünkü onun boyuna göre ön yok.","Önlüğü bile özel dikilmiş, çünkü onun boyuna göre önlük yok.","Önü bile özel dikilmiş, çünkü onun boyuna göre ön yok.","Önlüğü bile özel dikiliyor, çünkü onun boyuna göre önlük yok.","Önü bile özel dikilmişti, çünkü onun boyuna göre yoktu.","Önlük bile özel dikilmişti, çünkü onun boyuna göre önlük yoktu."
news_1727,"Kurucu Başkan İsmail Alptekin, 14 Mayıs ""ilk adım"" toplantısında ""Emaneti bir başka abiye teslim ediyorum."" diyerek genel başkanlığı Recai Kutan'a devretti.","Kurum başkanı İsmail Alptekin, 14 Mayıs ""İlk Adım"" toplantısında ""Emaneti bir başka abiye teslim ediyorum."" diyerek genel başkanlığı Recai Kutan'a devretti.","Kurum başkanı İsmail Alptekin, 14 Mayıs ""İlk Adım"" toplantısında ""Emaneti bir başka abiye teslim ediyorum."" diyerek genel başkanlığı Recai Kutan'a devretti.","Kurul başkanı İsmail Alptekin, 14 Mayıs ""ilk adım"" toplantısında ""Emaneti bir başka abiye teslim ediyor.""  deyip genel başkanlığı Recai Kutan'a devretti.","Kurul başkanı İsmail Alptekin, 14 Mayıs ""ilk adım"" toplantısında ""Emaneti bir başka abiye teslim ediyorum."" deyip genel başkanlığı Recai Kutan'a devretti.","Kur başkanı İsmail Alptekin, 14 Mayıs'ta ""ilk adım"" toplantısında ""emanet"" bir başka abiye teslim etti de genel başkanlık Recai Kutan'a devretti.","Kur başkanı İsmail Alptekin, 14 Mayıs'ta ""ilk adım"" toplantısında, emanet bir başka abiye teslim etmekte de genel başkanlık Recai Kutan'a devretti."
news_631,"Sürenin uzunluğu, önce toplantının tartışmalı geçtiği izlenimi doğurdu.","Sürenin uzunluğu, önce toplantının tartışmalı geçtiği izlenimini doğurdu.","Sürenin uzunluğu, önce toplantının tartışmalı geçtiği izlenimini doğurmuştu.","Sürenin uzunluğu, önce toplantının tartışmayla geçtiği izlenimini doğurdu.","Sürenin uzunluğu, önce toplantının tartışmalı geçtiği izlenimini doğururdu.","Sürenin uzunluğu, önce toplantının tartışılan geç izlenimler doğurdu.","Sürenin uzunluğu, önce toplantının tartışmalı geçen izlenimlerini doğurdu."
