sent_id,original,Tarık_v2.8,Tarık_v2.11,Akif_v2.8,Akif_v2.11,llm_v2.8,llm_v2.11,accuracy_Tarık_v2.8,accuracy_Tarık_v2.11,accuracy_Akif_v2.8,accuracy_Akif_v2.11,accuracy_llm_v2.8,accuracy_llm_v2.11
ess_624,"Ben yani nerdeyse bir Christian Scientist üyesi kadar ""düşkün"" addedilebilirim doktorlara.","Ben yani neredeyse bir Christian Scientist üyesi kadar ""düşkün"" addedilebilirim doktorlara.","Ben yani nerdeyse bir Christian Scientist üyesi kadar ""düşkün"" addedilebilirim doktorlara.",Ben yani nerdeyse bir Christian Scientist üyesi kadar düşkün addedilirim doktorlara.,"Ben yani nerdeyse bir Christian Scientist üyesi kadar ""düşkünü"" addedilirim doktorlara.","Ben yani neredeyse bir Christian Scientist üyesi kadar ""düşkün"" adedet doktorlara.","Ben yani neredeyse bir Christian Scientist üyesi kadar ""düşkün"" addedilebilirim doktorlara.",92.86,100.00,42.86,85.71,85.71,92.86
bio_390,Yarın işim çok.,Yarın işimiz çok.,Yarın işim çok.,Yarın işi çok.,Yarın işim çok.,Yarın işim çok.,Yarın işim çok.,75.00,100.00,75.00,100.00,100.00,100.00
bio_1657,"Osman Paşa diyor ki ""Ben planı yaparım, hedefleri gösterir tabur komutanına veririm o inisiyatifiyle istediği yere yürür""","Osman Paşa diyor ki ""Ben planı yaparım, hedefleri gösterir tabur komutanına veririm o inisiyatifiyle istediği yere yürür""","Osman Paşa der ki ""Ben plan yaparım, hedefleri gösteririm tabur komutanına veririm o inisiyatifiyle istediği yere yürür""","Osman Paşa diyor ki ""Ben planı yapar, hedefi gösterir tabur komutanına veririm o inisiyatifiyle istediği yere yürür""","Osman paşaya diyor ki ""Ben planı yaparım, hedefleri gösteririm tabur komutanına veririm o inisiyatifiyle istediği yere yürür""  ","Osman Paşa da, ""Ben planı yapıyorum, hedefleri gösteriyorum, tabur komutanına veriyorum, o inisiyatifle istediği yere yürüyor,"" dedi.","Osman Paşa dedi ki ""Ben plan yapıyorum, hedefleri gösteriyorum, tabur komutanına veriyorum, o inisiyatif istediği yerde yürütüyor.""",100.00,85.00,90.00,90.00,60.00,55.00
pop_795,Aşağı yukarı böyle bir şey; detayları atlamış olabilirim zira çok uzun yıllardır bu faaliyette bulunmuyorum.,Aşağı yukarı böyle bir şey; detaylarını atlamış olabilirim zira çok uzun yıllar bu faaliyette bulunmuyorum.,Aşağı yukarı böyle bir şey; detayları atlamış olabilirim zira çok uzun yıllardır bu faaliyette bulunmuyorum.,Aşağı yukarı böyle bir şey; detayları atlamış olabilirim zira çok uzun yıllardır bu faaliyette bulunmmuyorum.,Aşağı yukarı böyle bir şey; detayları atlamış olabilirim zira çok uzun yıllar bu faaliyette bulunmadım. ,Aşağı yukarı böyle bir şey; detayları atladı olurum zira çok uzun yıllar bu faaliyette bulunmam.,Aşağı yukarı böyle bir şey; detayları atladım olabilirim zira çok uzun yıllar bu faaliyette bulunmadım.,88.24,100.00,94.12,88.24,76.47,82.35
pop_847,"Puşkin'in satırlarına yansıyan Erzurum, 150 yıl sonra da aynı karakteristik özelliklerini koruyordu.","Puşkin'in satırlarına yansıyan Erzurum, 150 yıl sonra da aynı karakteristik özelliklerini koruyordu.","Puşkin'in satırlarına yansıyan Erzurum, 150 yıl sonra da aynı karakteristik özelliklerini koruyordu.","Puşkin'in satırlarına yansıyan Erzurum, 150 yıl sonra da aynı karakteristik özelliklerini koruyordu.","Puşkin'in satırlarına yansıyan Erzurum, 150 yıl sonra da aynı karakteristik özellliklerini koruyordu.  ","Puşkin'in satırlarına yansıyan Erzurum, 150 yıl sonra da aynı karakteristik özellikleri korudu.","Puşkin'in satırlarına yansıyan Erzurum, 150 yıl sonra da aynı karakteristik özellikleri korudu.",100.00,100.00,100.00,92.86,85.71,85.71
pop_1193,"Bir de, sadece buraya özel dedikleri bir içki ikram ettiler.","Bir de, sadece buraya özel dedikleri bir içiki ikram ettiler.","Bir de, sadece buraya özel dedikleri bir içki ikram ettiler.","Bir de, sadece buraya özel dediği bir içki ikram etti.","Bir de, sadece buraya özel de","Bir de, sadece buraya özelde bir içki ikram ettiler.","Bir de, sadece buraya özeldeğil bir içki ikram ettiler.",91.67,100.00,83.33,25.00,83.33,83.33
pop_802,Ne yapacakları önceden pek kestirilemez.,Ne yapacakları önceden pek kestirilmez.,Ne yapacakları önceden pek kestirilemez.,Ne yapacağı önceden pek kestirilmez.,Ne yapacakları önceden pek kestirilemiyor. ,Ne yapacaklarından önce pek kesilmez.,Ne yapacaklarından önce pek kesilmez.,83.33,100.00,66.67,83.33,50.00,50.00
news_1295,"Dünyanın hiçbir yerinde kayıt dışı 0 değildir.""","Dünyanın hiçbir yerinde kayıt dışı 0 değil.""","Dünya'nın hiçbir yerde kayıt dışı 0 değil.""",Dünyanın hiçbir yerinde kayıt dışı 0 değil.,Dünya'nın hiçbir yerinde kayıt dışı 0 değil.,Dünyanın hiçbir yerinde kayıt dışı değil.,Dünyanın hiçbir yerinde kayıt dışı değil.,88.89,66.67,77.78,66.67,44.44,44.44
bio_889,Sirenlerini açtılar ve anons etmeye devam ettiler.,Sirenlerini açtılar ve anons etmeye devam ettiler.,Sirenlerini açtılar ve anons etmeye devam ettiler.,Sirenleri açmışlar ve anons etmeye devam etmişler.,Sirenleri açtılar ve anons etmeye devam ettiler.,Sirenleri açtılar ve anonsu devam ettirdiler.,Sirenleri açtılar ve anonsa devam ettiler.,100.00,100.00,62.50,87.50,50.00,62.50
ins_414,Gülerken düşündürür.,Güldürürken düşündürür.,Güldürürken düşündürür.,Gülüp düşündür.,Gülerken düşündür.,Güldürsün düşünsün.,Gülüyor düşündürüyor.,66.67,66.67,33.33,66.67,33.33,33.33
news_1115,Mahkemede büyük bir olasılıkla yürütmeyi durdurma kararı alacak.,Mahkemede büyük bir olasılıkla yürütmeyi durdurma kararı alınacak.,Mahkemede büyük bir olasılıkla yürütmeyi durdurma kararı alınacak.,Mahkemede büyük bir olasılıkla yürütmeyi durdurma kararı alacak.,Mahkemede büyük bir olasılıkla yürütmeyi durdurma kararı alacak. ,Mahkemede büyük bir olasılıkla yürütülen duruşmaya karar alacak.,Mahkemede büyük bir olasılıkla yürütmeyi durdurma kararı alacak.,88.89,88.89,100.00,100.00,66.67,100.00
pop_1585,* Açıklanamayan vajinal kanama durumunda.,* Açıklanamayan vajinal kanama durumunda.,*Açıklanamayan vajinal kanama durumunda.,* açıklanmayan vajinal kanama durumunda.,* açıklanamayan vajinal kanama durumunda.,*Açıklanmayan vajinal kanamanın durumunda.,*Açıklanmayan vajinal kanama durumunda.,100.00,100.00,83.33,83.33,66.67,83.33
bio_265,"Ahmet Hamdi Tanpınar, Beş Şehir adlı başyapıtında Konya'yı dile getirirken, 699 yılının o müthiş günlerinden de söz açar.","Ahmet Hamdi Tanpınar, beş şehir adlı başyapıtında Konya'yı dile getirirken, 699 yılının o müthiş günlerinden de söz açar.","Ahmet Hamdi Tanpınar, beş şehir adlı başyapıtında Konya'yı dile getirirken, 699 yılının o müthiş günlerinden de söz açar.","Ahmet Hamdi Tanpınar, Beş Şehir adlı başyapıtında Konya'yı dile getirip, 699 yılının o müthiş gününden de söz açar.","Ahmet Hamdi Tanpınar, Beş Şehir adlı başyapıtında Konya'yı dile getirirken, 699 yılının o müthiş günlerinden de söz açar.","Ahmet Hamdi Tanpınar, beş şehir adını başyapıtına Konya'ya getirdiği, 699 yılının o müthiş gününden de söz açtı.","Ahmet Hamdi Tanpınar, Beş Şehir adlı başyapıtında Konya'ya dil getirdi, 699 yıl önceki o müthiş günden de söz açtı.",90.48,90.48,90.48,100.00,57.14,71.43
pop_63,"Ankara, Mustabey, Çengel, Kumla, Bey olmak üzere birçok çeşidi vardır.","Ankara, Mustafabey, Çengelköy, Kumköy, Beyoğlu olmak üzere birçok çeşidi vardır.","Ankara, Mustafabey, Çengelköy, Kumköy, Beylerbeyi olmak üzere birçok çeşidi vardır.","Ankara, Mustabey, Çengel, kumla, bey olmak üzere birçok çeşidi vardır.","Ankara, Mustabey, çengel, kum, bey olmak üzere birçok çeşidi vardır. ","Ankara, Mustabey, Çengel, kum ve bey olmak üzere birçok çeşidi var.","Ankara, Mustabey, Çengel, Kum bey olup üzere birçok çeşidi var.",73.33,73.33,86.67,80.00,73.33,73.33
ess_75,"O halde, insanın her bekleyişini ve her mühlet verişini sabır olarak değerlendirmenin mümkün olmadığı anlaşılıyor.","O hâlde, insanın her beklediği ve her mühlet verdiğini sabır olarak değerlendirmenin mümkün olmadığı anlaşılıyor.","O hâlde, insanın her beklediğini ve her mühlet verdiğini sabır olarak değerlendirmenin mümkün olduğu anlaşılır.","O hal, insanın her bekleyişini ve her mühlet verişini, sabır olarak değerlendirmenin mümkün olmadığı anlaşılıyor. ","O hâlde, insanın her bekleyişini ve her mühleti verişini sabır olarak değerlendirmenin mümkün olmadığı anlaşılıyor.","O hâlde, insanın her beklediği ve her verdiği mühlet, sabırla değerlendirilmemiş olabilir anlaşılıyor.","O halde, insanın her bekleme ve her mühlet verme sabrı değerlendirilmesi mümkün olmamıştır.",82.35,70.59,94.12,88.24,47.06,35.29
ess_1514,"Kimsenin saçı dökülmezse, o ürünü kullanmaya ne hacet!",Kimsenin saçı dökülmezse o ürünü kullanmaya ne hacet!,"Kimsenin saçı dökülmezse, o ürünü kullanmaya ne hacet!","Kimsenin saçı dökülmezse, o ürünü kullanmaya ne hacet!","Kimsenin saçı, dökülmezse,  o ürünü kullanmaya ne hacet! ",Kimse saçı dökülmeyen o ürünü kullanan ne hacet!,"Kimse saçı dökülmezse, o ürünü kullanmane hacet ne!",90.00,100.00,100.00,100.00,60.00,80.00
news_81,Ancak bunu Türkiye'nin üyeliğini engelleyecek bir unsur olarak görmüyorum.,Ancak bunu Türkiye'nin üyeliğini engelleyecek bir unsur olarak görmez.,Ancak bunu Türkiye'nin üyeliğini engelleyecek bir unsur olarak görmüyorum.,Ancak bunu Türkiye'nin üyesi engelleyecek bir unsur olarak görmüyor.,Ancak bunu Türkiye'nin üyeliğini engelleyecek bir unsur olarak görmüyor. ,Ancak bu Türkiye'nin üyesini engelleyecek bir unsur olmuyorum.,Ancak bu Türkiye'nin üyeliğini engelleyecek bir unsur olmuyor.,90.00,100.00,80.00,90.00,60.00,70.00
ess_539,"Çocuğunuz, oturacak bir okul sırasına sahip olamayabilir...","Çocuklarınız, oturacak bir okul sırasına sahip olamayabilir.","Çocuklarınız, oturulacak bir okul sırasına sahip olamayabilir...","Çocuğu, oturacak bir okul sırasına sahip olamayabilir.","Çocukların, oturacağı bir okul sırasına sahip olamayabilir...","Çocuk, gelecekte bir okul sırasına sahip olamayacak...","Çocuk, oturacağı okulun sırasına sahip olamıyor...",77.78,77.78,77.78,77.78,66.67,44.44
ins_1938,"yıl arifesinde, tüketiciler arasında ilk akla gelen markanın Çiko olmadığı, daha yeni şekerlerin tercih edildiğini gösterir.","Yıl arifesinde, tüketilenler arasında ilk akla gelen markanın Çiko olmadığı, daha yeni şekerlerin tercih edildiğini gösterir.","Yıl arifesinde, tüketiciler arasında ilk akla gelen markanın Çiko olmaması, daha yeni şekerlerin tercih edildiğini gösterir.","Yıl arifesinde, tüketiciler arasında ilk akla gelen markanın Çiko olmaması, daha yeni şekerlerin tercih edildiğini gösterir","Yıl arifesinde, tüketiciler arasında ilk akla gelen markanın Çiko'yu olmadığı, daha yeni şekerlerin tercih edildiğini gösterir.","Yıl Arifesi'nde, tüketicilerin aklına ilk gelen marka Çiko olmamış, daha yeni Şekerler tercih edilmiş gösteriyor.","Yıl Arife'sinde, tüketiciler arasında ilk akla gelen marka Çiko olmamış, daha yeni şeker tercih edilmiş gösteriyor.",89.47,89.47,84.21,89.47,47.37,63.16
pop_62,"""İstanbul aslında deprem kuşağının tam göbeğindeymiş.","""İstanbul aslında deprem kuşağının tam göbeğindeymiş.","""İstanbul aslında deprem kuşağının tam göbeğindeymiş.",İstanbul aslında deprem kuşağının tam göbeğindeymiş.,"""İstanbul aslında deprem kuşağının tam göbeğindeymiş. """,İstanbul aslında deprem kuşağının tam göbeğindeydi.,"""İstanbul aslında deprem kuşağının tam göbeğindeydi.""",100.00,100.00,87.50,100.00,75.00,87.50
bio_1386,Mücadelem süresince coşkum bu korkuma eşlik etti.,Mücadelem süresince coşkum bu korkuma eşlik etti.,Mücadelem süresince coşkum bu korkuma eşlik etti.,Mücadelesi süre coşkusu bu korkusuna eşlik etti.,Mücadelem süresi coşkum bu korkuma eşlik etti.,Mücadelem süresince coşkum bu korkuya eşleşti.,Mücadelem süresince coşkum bu korkuya eşlik etti.,100.00,100.00,50.00,87.50,62.50,87.50
bio_562,Müzikte neler olup bitiyor? Almanya'yı bilmek kolay...,Müzikte ne olup bitiyor? Almanya'yı bilmek kolay...,Müzikte neler olup biter? Almanya'yı bilmek kolay...,Müzikte ne olup bitiyor ? Almanya'yı bilince kolay...,Müzikte neler olup bitiyor? Almanya'yı bilmek kolay.,Müzikte ne oluyor? Almanya'yı biliyor kolay...,Müzikte ne oluyor? Almanya'yı bilmek kolay...,88.89,88.89,77.78,88.89,55.56,66.67
bio_1990,Bizim Şefik dert dağıtım merkezi sanki.,Bizim Şefik dert dağıtım merkezi sanki.,Bizim Şefik dert dağıtım merkezi sanki.,Bizim Şefik dert dağıtım merkezi sanki.,Bizlerin Şefik dert dağıtım merkezi sanki.,Bizim Şefik'in dert dağıtım merkeziymiş.,Bizim Şefik dert dağıtım merkezi sanki.,100.00,100.00,100.00,85.71,57.14,100.00
ins_808,1. Yakın çevremizde hangi sağlık kurumları var?,1. yakın çevremizde hangi sağlık kurumları var?,1. yakın çevremizde hangi sağlık kurumları var?,1. yakın çevresinde hangi sağlık kurumları var ?,1. Yakın çevrelerimde hangi sağlık kurumları var ?,1 yakın çevremizde hangi sağlık kurumları var?,1. yakın çevremizdeki hangi sağlık kurumları var?,87.50,87.50,75.00,87.50,75.00,75.00
news_1406,Dönerken de soruyorsunuz...,Dönüp de soruyorsunuz,Dönerse de sor...,Dönerken de soruyor.,Dönerken de sorun.,Dönerken de sorun...,Dönüyor de sorun.,50.00,50.00,50.00,50.00,75.00,25.00
bio_307,Ben ortaokula başlamadan bir yıl önce okulun müdürü bir öğrenci tarafından tabancayla vurularak öldürülmüştü.,Ben ortaokula başladığımdan bir yıl önce okulun müdürü bir öğrenci tarafından tabancayla vurularak öldürülmüş.,Ben ortaokula başlamadan bir yıl önce okulun müdürü bir öğrenci tarafından tabancayla vurularak öldürülmüştü.,Ben ortaokula başlamadan bir yıl önce okulun müdürü bir öğrenci tarafından tabancayla vurulup öldürüldü.,Ben ortaokula başlamadan bir yıl önce okulun müdürü bir öğrenci tarafından tabancayla vurulup ölmüştü.,Ben ortaokula başlamadan bir yıl önce okul müdürü bir öğrenci tarafından tabancayla vurularak öldü.,Ben ortaokula başlamadan bir yıl önce okul müdürü bir öğrenci tarafından tabancayla vurularak öldü.,86.67,100.00,86.67,86.67,86.67,86.67
ins_920,Ben de bu erdemin yüksek bir derecesine sahibim.,Ben de bu erdemin yüksek bir derecesine sahibim.,Ben de bu erdemin yüksek bir derecesine sahibim.,Ben de bu erdemin yüksek bir derecesine sahibim.,Ben de bu erdemin yüksek bir derecesine sahibim.,Bende bu erdemin yüksek bir derecesine sahipim.,Bende bu erdemin yüksek bir derecesine sahip.,100.00,100.00,100.00,100.00,66.67,66.67
ess_329,"Birkaç yıldır, Kürt, Kıbrıs, Ermeni ve diğer azınlık sorunlarının, AB'ye girişin, İslamcı kökenli bir partinin iktidara gelişinin etkisiyle ve bunlara tepki olarak, milliyetçilik yükselmeye başladı.","Birkaç yıldır, Kürt, Kıbrıs, Ermeni ve diğer azınlık sorunlarının, AB'ye girmenin, İslamcı kökenli bir partinin iktidara gelmesinin etkisi ve bunlara tepki olarak, milliyetçilik yükselmeye baladı.","Birkaç yıldır, Kürt, Kıbrıs, Ermeni ve diğer azınlık sorunlarının, AB'ye girmenin, İslamcı kökenli bir partinin iktidara gelmesinin etkisiyle ve bunlara tepki olarak, milliyetçilik yükselmeye başladı.","Birkaç yıldır, Kürt, Kıbrıs, Ermeni ve diğer azınlık sorunlarının, AB'ye girmenin, İslam kökenli bir partinin iktidara gelmesinin etkisiyle ve buna tepki olarak, milliyetçilik yükselmeye başlamıştı. ","Birkaç yıldır, Kürt, Kıbrıs, Ermeni ve diğer azınlık sorunlarının, AB'ye girmenin, islamcı kökenli bir partinin iktidara gelmesinin etkisiyle ve bunlara tepki olarak, milliyetçilik yükselmeye başladı. ","Birkaç yıldır, Kürt, Kıbrıs, Ermeni ve diğer azınlık sorunları, AB'ye giriş, İslam kökenli bir partinin iktidara gelmesi, etki ve bu tepkilere, milliyetçiliğin yükselişiyle başladı.","Birkaç yıldır, Kürt, Kıbrıs, Ermeni ve diğer azınlık sorunları, AB'ye giriş, İslamcı kökenli bir partinin iktidara gelmesi, etki ve bu tepkilerle, milliyetçiliğin yükselişi başladı.",87.50,93.75,84.38,90.62,68.75,71.88
ess_1832,"Önlüğü bile özel dikilmiş, çünkü onun boyuna göre önlük yok.","Önü bile özel dikilmiş, çünkü onun boyuna göre ön yok.","Önlüğü bile özel dikilmiş, çünkü onun boyuna göre önlük yok.","Önü bile özel dikilmiş, çünkü onun boyuna göre ön yok.","Önlüğü bile özel dikiliyor, çünkü onun boyuna göre önlük yok.","Önü bile özel dikilmişti, çünkü onun boyuna göre yoktu.","Önlük bile özel dikilmişti, çünkü onun boyuna göre önlük yoktu.",83.33,100.00,83.33,91.67,66.67,75.00
ess_825,Ölümle şakalaşabildiğimiz zaman parçası.,Ölümle şakalaşabildiğimiz zaman parçaları.,Ölümle şakalaşabildiğim zaman parçası.,Ölümle şakalaşabildiği zaman parçası.,Ölümle şakalaşabildiğimiz zaman parçası.,Ölümle şakalaşmış zamanın parçası.,Ölümle şakalaşmış zamanın parçası.,80.00,80.00,80.00,100.00,60.00,60.00
news_697,Muhalefet partisi lideri bu savcının yaptığını 'sivil darbe' olarak niteledi.,Muhalefet partisi lideri bu savcının yaptığını 'sivil darbe' olarak nitelendirdi.,Muhalefet partisi lideri bu savcının yaptığını 'sivil darbe' olarak nitelendirdi.,Muhalefet partisi lideri bu savcının yaptığını  'sivil darbe' olarak niteledi.  ,Muhalefet partisi lideri bu savcının yaptığını 'sivil darbe' olarak niteledi. ,Muhalefet partisinin lideri bu savcının yaptığı 'sivil darbe'yi nitelendirdi.,"Muhalefet partisinin lideri, bu savcının yaptığı 'sivil darbe' olmuş nitelendi.",91.67,91.67,100.00,100.00,25.00,66.67
news_631,"Sürenin uzunluğu, önce toplantının tartışmalı geçtiği izlenimi doğurdu.","Sürenin uzunluğu, önce toplantının tartışmalı geçtiği izlenimini doğurdu.","Sürenin uzunluğu, önce toplantının tartışmalı geçtiği izlenimini doğurmuştu.","Sürenin uzunluğu, önce toplantının tartışmayla geçtiği izlenimini doğurdu.","Sürenin uzunluğu, önce toplantının tartışmalı geçtiği izlenimini doğururdu.","Sürenin uzunluğu, önce toplantının tartışılan geç izlenimler doğurdu.","Sürenin uzunluğu, önce toplantının tartışmalı geçen izlenimlerini doğurdu.",90.00,80.00,80.00,80.00,70.00,80.00
